#t / s	&b_A1 / rad	f_geschw / rad/s

*TITLE Messung von x und y vom 22.11.2016 
*xLabel Zeit
*yLabel Winkel        
*xUnit  sek
*yUnit  rad

#0	#1.12	#0
10.6	0.16	9.1
10.65	0.61	8.9
10.7	1.04	8.3
10.75	1.44	7.4
10.8	1.78	6.5
10.85	2.09	5.2
10.9	2.31	3.9
10.95	2.48	2.5
11	2.56	0.8
11.05	2.56	-0.8
11.1	2.48	-2.5
11.15	2.31	-4
11.2	2.08	-5.3
11.25	1.78	-6.5
11.3	1.44	-7.4
11.35	1.04	-8.3
11.4	0.61	-8.8
11.45	0.16	-9
11.5	-0.29	-9
11.55	-0.74	-8.6
11.6	-1.15	-8
11.65	-1.55	-7.2
11.7	-1.88	-6.3
11.75	-2.17	-5.1
11.8	-2.38	-3.6
11.85	-2.52	-2.2
11.9	-2.61	-0.9
11.95	-2.61	0.9
12	-2.52	2.3
12.05	-2.38	3.7
12.1	-2.14	5.1
12.15	-1.87	6.2
12.2	-1.53	7.3
12.25	-1.15	8
12.3	-0.74	8.6
12.35	-0.29	8.9
12.4	0.16	9
12.45	0.61	8.6
12.5	1.03	8.1
12.55	1.43	7.5
12.6	1.77	6.3
12.65	2.06	5.2
12.7	2.3	3.8
12.75	2.44	2.3
12.8	2.52	0.9
12.85	2.52	-0.9
12.9	2.44	-2.5
12.95	2.27	-3.9
13	2.05	-5.1
13.05	1.76	-6.3
13.1	1.41	-7.4
13.15	1.02	-8.1
13.2	0.61	-8.6
13.25	0.15	-9
13.3	-0.29	-8.9
13.35	-0.73	-8.5
13.4	-1.14	-7.9
13.45	-1.52	-7.2
13.5	-1.86	-6.2
13.55	-2.13	-4.9
13.6	-2.35	-3.7
13.65	-2.5	-2.1
13.7	-2.57	-0.7
13.75	-2.57	0.8
13.8	-2.49	2.2
13.85	-2.35	3.6
13.9	-2.13	5
13.95	-1.84	6.2
14	-1.51	7.1
14.05	-1.13	8
14.1	-0.71	8.5
14.15	-0.27	8.7
14.2	0.15	8.8
14.25	0.61	8.5
14.3	1.01	7.9
14.35	1.4	7.3
14.4	1.74	6.4
14.45	2.05	5.2
14.5	2.26	3.6
14.55	2.4	2.2
14.6	2.48	0.8
14.65	2.48	-0.8
14.7	2.4	-2.2
14.75	2.26	-3.7
14.8	2.02	-5.2
14.85	1.74	-6.3
14.9	1.39	-7.3
14.95	1	-8.2
15	0.58	-8.6
15.05	0.15	-8.7
15.1	-0.29	-8.8
15.15	-0.73	-8.4
15.2	-1.13	-7.8
15.25	-1.51	-7
15.3	-1.84	-6
15.35	-2.11	-5
15.4	-2.34	-3.6
15.45	-2.48	-1.9
15.5	-2.54	-0.6
15.55	-2.54	0.8
15.6	-2.46	2.3
15.65	-2.31	3.7
15.7	-2.09	4.9
15.75	-1.82	6.1
15.8	-1.48	7.1
15.85	-1.11	7.8
15.9	-0.7	8.5
15.95	-0.27	8.7
16	0.17	8.7
16.05	0.61	8.4
16.1	1.01	7.9
16.15	1.39	7.2
16.2	1.74	6.2
16.25	2.01	4.9
16.3	2.23	3.7
16.35	2.38	2.3
16.4	2.46	0.7
16.45	2.45	-0.9
16.5	2.37	-2.3
16.55	2.22	-3.7
16.6	2	-5.2
16.65	1.7	-6.4
16.7	1.36	-7.2
16.75	0.99	-7.9
16.8	0.57	-8.5
16.85	0.13	-8.6
16.9	-0.3	-8.6
16.95	-0.74	-8.3
17	-1.13	-7.7
17.05	-1.5	-7
17.1	-1.83	-5.9
17.15	-2.09	-4.7
17.2	-2.31	-3.4
17.25	-2.44	-2.1
17.3	-2.51	-0.8
17.35	-2.51	0.8
17.4	-2.43	2.4
17.45	-2.27	3.7
17.5	-2.07	4.9
17.55	-1.78	6
17.6	-1.46	7
17.65	-1.09	7.8
17.7	-0.67	8.4
17.75	-0.26	8.6
17.8	0.17	8.6
17.85	0.61	8.4
17.9	1.01	7.8
17.95	1.39	7.1
18	1.72	6.1
18.05	2	5
18.1	2.22	3.5
18.15	2.35	2.2
18.2	2.44	0.8
18.25	2.43	-1
18.3	2.34	-2.5
18.35	2.18	-3.8
18.4	1.96	-5.1
18.45	1.66	-6.2
18.5	1.33	-7.2
18.55	0.96	-7.9
18.6	0.55	-8.3
18.65	0.13	-8.6
18.7	-0.3	-8.6
18.75	-0.73	-8.3
18.8	-1.13	-7.6
18.85	-1.48	-6.8
18.9	-1.81	-5.9
18.95	-2.08	-4.7
19	-2.27	-3.4
19.05	-2.42	-2.1
