# axis 0: x
# datapoints
1.000000e-02
4.000000e-02
1.600000e-01
4.900000e-01

# axis 1: y
# datapoints	uncor. err.
1.230669e-02	1.000000e-08
4.325635e-02	1.000000e-08
1.636759e-01	1.000000e-08
4.938282e-01	1.000000e-08

