#t / s	&b_A1 / rad	f_1
15.35	-0.39	0
15.4	-0.61	0
15.45	-0.79	0
15.5	-0.97	0
15.55	-1.12	0
15.6	-1.22	0
15.65	-1.29	0
15.7	-1.32	0
15.75	-1.32	0
15.8	-1.27	0
15.85	-1.18	0
15.9	-1.07	0
15.95	-0.91	0
16	-0.74	0
16.05	-0.53	0
16.1	-0.33	0
16.15	-0.1	0
16.2	0.12	0
16.25	0.35	0
16.3	0.55	0
16.35	0.74	0
16.4	0.91	0
16.45	1.04	0
16.5	1.15	0
16.55	1.22	0
16.6	1.25	0
16.65	1.24	0
16.7	1.19	0
16.75	1.1	0
16.8	0.99	0
16.85	0.84	0
16.9	0.66	0
16.95	0.47	0
17	0.26	0
17.05	0.04	0
17.1	-0.17	0
17.15	-0.38	0
17.2	-0.57	0
17.25	-0.74	0
17.3	-0.9	0
17.35	-1.03	0
17.4	-1.13	0
17.45	-1.18	0
17.5	-1.21	0
17.55	-1.2	0
17.6	-1.14	0
17.65	-1.07	0
17.7	-0.96	0
17.75	-0.82	0
17.8	-0.65	0
17.85	-0.47	0
17.9	-0.26	0
17.95	-0.05	0
18	0.14	0
18.05	0.35	0
18.1	0.53	0
18.15	0.7	0
18.2	0.86	0
18.25	0.97	0
18.3	1.07	0
18.35	1.12	0
18.4	1.14	0
18.45	1.13	0
18.5	1.09	0
18.55	1	0
18.6	0.88	0
18.65	0.74	0
18.7	0.58	0
18.75	0.4	0
18.8	0.22	0
18.85	0.02	0
18.9	-0.17	0
18.95	-0.36	0
19	-0.54	0
19.05	-0.7	0
19.1	-0.84	0
19.15	-0.96	0
19.2	-1.03	0
19.25	-1.09	0
19.3	-1.1	0
19.35	-1.09	0
19.4	-1.04	0
19.45	-0.96	0
19.5	-0.86	0
19.55	-0.72	0
19.6	-0.57	0
19.65	-0.39	0
19.7	-0.22	0
19.75	-0.03	0
19.8	0.16	0
19.85	0.35	0
19.9	0.51	0
19.95	0.66	0
20	0.79	0
20.05	0.9	0
20.1	0.99	0
20.15	1.03	0
20.2	1.04	0
20.25	1.03	0
20.3	0.97	0
20.35	0.9	0
20.4	0.78	0
20.45	0.65	0
20.5	0.51	0
20.55	0.35	0
20.6	0.17	0
20.65	0	0
20.7	-0.18	0
20.75	-0.36	0
20.8	-0.52	0
20.85	-0.66	0
20.9	-0.78	0
20.95	-0.88	0
21	-0.96	0
21.05	-0.99	0
21.1	-1	0
21.15	-0.98	0
21.2	-0.94	0
21.25	-0.86	0
21.3	-0.75	0
21.35	-0.62	0
21.4	-0.48	0
21.45	-0.33	0
21.5	-0.16	0
21.55	0	0
21.6	0.17	0
21.65	0.35	0
21.7	0.49	0
21.75	0.63	0
21.8	0.74	0
21.85	0.83	0
21.9	0.9	0
21.95	0.95	0
22	0.96	0
22.05	0.92	0
22.1	0.87	0
22.15	0.79	0
22.2	0.7	0
22.25	0.58	0
22.3	0.44	0
22.35	0.29	0
22.4	0.13	0
22.45	-0.04	0
22.5	-0.2	0
22.55	-0.35	0
22.6	-0.49	0
22.65	-0.62	0
22.7	-0.74	0
22.75	-0.82	0
22.8	-0.87	0
22.85	-0.9	0
22.9	-0.91	0
22.95	-0.88	0
23	-0.83	0
23.05	-0.76	0
23.1	-0.66	0
23.15	-0.55	0
23.2	-0.41	0
23.25	-0.27	0
23.3	-0.12	0
23.35	0.04	0
23.4	0.18	0
23.45	0.34	0
23.5	0.48	0
23.55	0.6	0
23.6	0.7	0
23.65	0.77	0
23.7	0.83	0
23.75	0.86	0
23.8	0.87	0
23.85	0.84	0
23.9	0.78	0
23.95	0.71	0
24	0.61	0
24.05	0.5	0
24.1	0.37	0
24.15	0.23	0
24.2	0.09	0
24.25	-0.07	0
24.3	-0.21	0
24.35	-0.35	0
24.4	-0.48	0
24.45	-0.59	0
24.5	-0.67	0
24.55	-0.75	0
24.6	-0.79	0
24.65	-0.83	0
24.7	-0.83	0
24.75	-0.79	0
24.8	-0.74	0
24.85	-0.67	0
24.9	-0.58	0
24.95	-0.48	0
25	-0.35	0
25.05	-0.22	0
25.1	-0.08	0
25.15	0.05	0
25.2	0.21	0
25.25	0.34	0
25.3	0.45	0
25.35	0.57	0
25.4	0.65	0
25.45	0.72	0
25.5	0.76	0
25.55	0.78	0
25.6	0.78	0
25.65	0.75	0
25.7	0.7	0
25.75	0.63	0
25.8	0.53	0
25.85	0.44	0
25.9	0.32	0
25.95	0.18	0
26	0.05	0
26.05	-0.09	0
26.1	-0.22	0
26.15	-0.34	0
26.2	-0.45	0
26.25	-0.55	0
26.3	-0.63	0
26.35	-0.7	0
26.4	-0.73	0
26.45	-0.74	0
26.5	-0.74	0
26.55	-0.72	0
26.6	-0.66	0
26.65	-0.6	0
26.7	-0.51	0
26.75	-0.4	0
26.8	-0.29	0
26.85	-0.17	0
26.9	-0.04	0
26.95	0.09	0
27	0.21	0
27.05	0.32	0
27.1	0.44	0
27.15	0.52	0
27.2	0.61	0
27.25	0.65	0
27.3	0.7	0
27.35	0.71	0
27.4	0.71	0
27.45	0.69	0
27.5	0.62	0
27.55	0.57	0
27.6	0.48	0
27.65	0.38	0
27.7	0.26	0
27.75	0.14	0
27.8	0.03	0
27.85	-0.09	0
27.9	-0.22	0
27.95	-0.33	0
28	-0.42	0
28.05	-0.51	0
28.1	-0.58	0
28.15	-0.63	0
28.2	-0.66	0
28.25	-0.67	0
28.3	-0.66	0
28.35	-0.64	0
28.4	-0.6	0
28.45	-0.52	0
28.5	-0.45	0
28.55	-0.35	0
28.6	-0.25	0
28.65	-0.13	0
28.7	-0.02	0
28.75	0.1	0
28.8	0.21	0
28.85	0.3	0
28.9	0.4	0
28.95	0.49	0
29	0.55	0
29.05	0.61	0
29.1	0.64	0
29.15	0.65	0
29.2	0.64	0
29.25	0.61	0
29.3	0.57	0
29.35	0.49	0
29.4	0.41	0
29.45	0.33	0
29.5	0.22	0
29.55	0.12	0
29.6	0	0
29.65	-0.1	0
29.7	-0.22	0
29.75	-0.3	0
29.8	-0.39	0
29.85	-0.48	0
29.9	-0.53	0
29.95	-0.58	0
30	-0.61	0
30.05	-0.61	0
30.1	-0.61	0
30.15	-0.57	0
30.2	-0.52	0
30.25	-0.47	0
30.3	-0.39	0
30.35	-0.3	0
30.4	-0.21	0
30.45	-0.1	0
30.5	0	0
30.55	0.11	0
30.6	0.21	0
30.65	0.3	0
30.7	0.38	0
30.75	0.46	0
30.8	0.51	0
30.85	0.55	0
30.9	0.58	0
30.95	0.58	0
31	0.57	0
31.05	0.54	0
31.1	0.49	0
31.15	0.44	0
31.2	0.36	0
31.25	0.27	0
31.3	0.18	0
31.35	0.09	0
31.4	-0.01	0
31.45	-0.11	0
31.5	-0.21	0
31.55	-0.3	0
31.6	-0.37	0
31.65	-0.44	0
31.7	-0.49	0
31.75	-0.52	0
31.8	-0.55	0
31.85	-0.55	0
31.9	-0.53	0
31.95	-0.51	0
32	-0.47	0
32.05	-0.4	0
32.1	-0.34	0
32.15	-0.26	0
32.2	-0.17	0
32.25	-0.08	0
32.3	0.02	0
32.35	0.12	0
32.41	0.21	0
32.45	0.28	0
32.5	0.36	0
32.55	0.42	0
32.6	0.48	0
32.65	0.51	0
32.7	0.52	0
32.75	0.52	0
32.8	0.52	0
32.85	0.48	0
32.9	0.44	0
32.95	0.38	0
33	0.32	0
33.05	0.23	0
33.1	0.15	0
33.15	0.07	0
33.2	-0.03	0
33.25	-0.12	0
33.3	-0.21	0
