#f2 / Hz	U_B1 / V	U_A1 / V	U_2 / V	I_2 / A	&j_2 / °
10	0	2.13	2.12	0.001	-80.2
91	0	2.14	2.12	0.001	-71
168	0	2.16	2.12	0.001	-77
241	0	2.18	2.12	0.001	-78.5
309	0.01	2.22	2.12	0.002	-80
374	0.01	2.26	2.12	0.002	-80.1
435	0.02	2.31	2.12	0.002	-79.9
493	0.03	2.36	2.12	0.002	-79.7
547	0.03	2.42	2.12	0.003	-79.1
599	0.04	2.49	2.12	0.003	-78.8
647	0.05	2.56	2.12	0.003	-78.2
693	0.06	2.63	2.12	0.004	-77.4
736	0.07	2.72	2.12	0.004	-76.8
777	0.07	2.8	2.12	0.004	-75.9
815	0.08	2.89	2.12	0.005	-75.1
852	0.1	2.98	2.12	0.005	-74.1
886	0.11	3.08	2.12	0.005	-73.3
919	0.12	3.18	2.12	0.006	-72.1
949	0.13	3.28	2.12	0.006	-71.2
978	0.14	3.39	2.12	0.007	-70
1005	0.15	3.5	2.12	0.007	-69
1031	0.17	3.61	2.12	0.007	-67.7
1055	0.18	3.72	2.12	0.008	-66.5
1078	0.19	3.84	2.12	0.008	-65.2
1100	0.21	3.95	2.12	0.009	-64
1120	0.22	4.07	2.12	0.009	-62.7
1140	0.24	4.18	2.12	0.009	-61.4
1158	0.25	4.29	2.12	0.01	-60
1175	0.26	4.41	2.12	0.01	-58.9
1191	0.28	4.52	2.12	0.011	-57.3
1207	0.29	4.63	2.12	0.011	-56
1221	0.31	4.74	2.12	0.011	-54.6
1235	0.32	4.84	2.12	0.012	-53.5
1248	0.33	4.94	2.12	0.012	-51.9
1260	0.35	5.03	2.12	0.012	-50.7
1271	0.36	5.13	2.12	0.013	-49.2
1282	0.37	5.22	2.12	0.013	-47.7
1293	0.38	5.31	2.12	0.013	-46.7
1302	0.4	5.39	2.12	0.014	-45.4
1311	0.41	5.47	2.12	0.014	-44.1
1320	0.42	5.54	2.12	0.014	-43
1329	0.43	5.61	2.12	0.015	-41.9
1338	0.44	5.69	2.12	0.015	-40.3
1347	0.45	5.77	2.12	0.015	-38.7
1358	0.47	5.85	2.12	0.015	-37.1
1369	0.48	5.94	2.12	0.016	-35.5
1380	0.5	6.03	2.12	0.016	-33.1
1392	0.51	6.12	2.12	0.016	-31.1
1405	0.53	6.21	2.12	0.017	-28.7
1419	0.55	6.28	2.12	0.017	-26.1
1433	0.57	6.37	2.12	0.018	-23.1
1449	0.58	6.43	2.12	0.018	-19.9
1465	0.6	6.47	2.12	0.018	-16.4
1482	0.62	6.49	2.12	0.019	-12.8
1500	0.63	6.49	2.12	0.019	-8.6
1520	0.64	6.45	2.12	0.019	-4.6
1540	0.65	6.36	2.12	0.019	-2.5
1562	0.66	6.24	2.12	0.019	5.4
1585	0.66	6.06	2.12	0.018	10.1
1609	0.65	5.84	2.12	0.018	14.9
1635	0.64	5.57	2.12	0.017	19.6
1662	0.63	5.28	2.12	0.017	24.6
1691	0.62	4.97	2.12	0.016	28.9
1721	0.6	4.64	2.12	0.015	33.3
1754	0.57	4.32	2.12	0.014	37.1
1788	0.55	3.99	2.12	0.013	40.8
1825	0.53	3.68	2.12	0.013	44.1
1863	0.51	3.37	2.12	0.012	47.4
1904	0.49	3.1	2.12	0.011	50.1
1947	0.46	2.83	2.12	0.01	52.7
1993	0.45	2.59	2.12	0.01	55.1
2041	0.43	2.37	2.12	0.009	57.2
2093	0.41	2.17	2.12	0.008	59.1
2147	0.39	1.98	2.12	0.008	60.7
2205	0.38	1.81	2.12	0.007	62.2
2266	0.37	1.65	2.12	0.007	63.7
2331	0.35	1.5	2.12	0.006	64.9
2399	0.34	1.38	2.12	0.006	66.1
2472	0.33	1.26	2.12	0.005	67
2549	0.32	1.15	2.12	0.005	68.1
2630	0.31	1.04	2.12	0.005	68.5
2716	0.3	0.95	2.12	0.004	69.5
2808	0.3	0.88	2.12	0.004	70.3
2904	0.29	0.8	2.12	0.004	70.4
