#t / s	&b_A1 / rad
94.36	-0.09
94.41	-0.14
94.46	-0.2
94.51	-0.23
94.56	-0.27
94.61	-0.3
94.66	-0.3
94.71	-0.32
94.76	-0.32
94.81	-0.3
94.86	-0.28
94.91	-0.26
94.96	-0.22
95.01	-0.17
95.06	-0.13
95.11	-0.07
95.16	-0.01
95.21	0.04
95.26	0.1
95.31	0.15
95.36	0.2
95.41	0.24
95.46	0.26
95.51	0.29
95.56	0.3
95.61	0.32
95.66	0.32
95.71	0.3
95.76	0.27
95.81	0.25
95.86	0.22
95.91	0.17
95.96	0.12
96.01	0.07
96.06	0.01
96.11	-0.04
96.16	-0.09
96.21	-0.14
96.26	-0.18
96.31	-0.23
96.36	-0.26
96.41	-0.28
96.46	-0.3
96.51	-0.3
96.56	-0.3
96.61	-0.28
96.66	-0.26
96.71	-0.23
96.76	-0.2
96.81	-0.15
96.86	-0.1
96.91	-0.05
96.96	0
97.01	0.04
97.06	0.1
97.11	0.15
97.16	0.18
97.21	0.23
97.26	0.26
97.31	0.28
97.36	0.29
97.41	0.3
97.46	0.29
97.51	0.28
97.56	0.26
97.61	0.23
97.66	0.18
97.71	0.14
97.76	0.1
97.81	0.04
97.86	0
97.91	-0.04
97.96	-0.1
98.01	-0.14
98.06	-0.18
98.11	-0.22
98.16	-0.25
98.21	-0.26
98.26	-0.28
98.31	-0.28
98.36	-0.27
98.41	-0.26
98.46	-0.25
98.51	-0.22
98.56	-0.17
98.61	-0.13
98.66	-0.09
98.71	-0.04
98.76	0
98.81	0.05
98.86	0.1
98.91	0.14
98.96	0.18
99.01	0.22
99.06	0.25
99.11	0.26
99.16	0.27
99.21	0.28
99.26	0.27
99.31	0.26
99.36	0.24
99.41	0.22
99.46	0.17
99.51	0.13
99.56	0.09
99.61	0.04
99.66	0
99.71	-0.05
99.76	-0.1
99.81	-0.14
99.86	-0.17
99.91	-0.22
99.96	-0.24
100.01	-0.26
100.06	-0.26
100.11	-0.26
100.16	-0.26
100.21	-0.25
100.26	-0.22
100.31	-0.2
100.36	-0.16
100.41	-0.12
100.46	-0.08
100.51	-0.03
100.56	0.01
100.61	0.05
100.66	0.1
100.71	0.14
100.76	0.17
100.81	0.22
100.86	0.23
100.91	0.25
100.96	0.26
101.01	0.26
101.06	0.26
101.11	0.24
101.16	0.22
101.21	0.18
101.26	0.15
101.31	0.12
101.36	0.08
101.41	0.03
101.46	-0.01
101.51	-0.05
101.56	-0.1
101.61	-0.13
101.66	-0.17
101.71	-0.21
101.76	-0.22
101.81	-0.24
101.86	-0.25
101.91	-0.25
101.96	-0.24
102.01	-0.22
102.06	-0.21
102.11	-0.17
102.16	-0.14
102.21	-0.1
102.26	-0.07
102.31	-0.02
102.36	0.02
102.41	0.07
102.46	0.1
102.51	0.14
102.56	0.17
102.61	0.21
102.66	0.22
102.71	0.24
102.76	0.25
102.81	0.25
102.86	0.24
102.91	0.22
102.96	0.21
103.01	0.17
103.06	0.14
103.11	0.1
103.16	0.07
103.21	0.02
103.26	-0.02
103.31	-0.07
103.36	-0.1
103.41	-0.13
103.46	-0.17
103.51	-0.18
103.56	-0.22
103.61	-0.22
103.66	-0.23
103.71	-0.23
103.76	-0.22
103.81	-0.21
103.86	-0.18
103.91	-0.16
103.96	-0.13
104.01	-0.09
104.06	-0.05
104.11	-0.01
104.16	0.03
104.21	0.07
104.26	0.1
104.31	0.13
104.36	0.17
104.41	0.2
104.46	0.22
104.51	0.22
104.56	0.23
104.61	0.23
104.66	0.22
104.71	0.21
104.76	0.18
104.81	0.16
104.86	0.13
104.91	0.09
104.96	0.05
105.01	0.01
105.06	-0.02
105.11	-0.07
105.16	-0.1
105.21	-0.13
105.26	-0.16
105.31	-0.17
105.36	-0.2
105.41	-0.22
105.46	-0.22
105.51	-0.22
105.56	-0.21
105.61	-0.18
105.66	-0.17
105.71	-0.14
105.76	-0.12
105.81	-0.09
105.86	-0.04
105.91	0
105.96	0.03
106.01	0.07
106.06	0.1
106.11	0.13
106.16	0.16
106.21	0.17
106.26	0.2
106.31	0.21
106.36	0.22
106.41	0.22
106.46	0.21
106.51	0.18
106.56	0.16
106.61	0.14
106.66	0.11
106.71	0.09
106.76	0.04
106.81	0
106.86	-0.03
106.91	-0.05
106.96	-0.09
107.01	-0.13
107.06	-0.14
107.11	-0.17
107.16	-0.17
107.21	-0.2
107.26	-0.2
107.31	-0.2
107.36	-0.18
107.41	-0.17
107.46	-0.15
107.51	-0.13
107.56	-0.1
107.61	-0.07
107.66	-0.04
107.71	0
107.76	0.03
107.81	0.07
107.86	0.1
107.91	0.13
107.96	0.14
108.01	0.17
108.06	0.17
108.11	0.18
108.16	0.2
108.21	0.18
108.26	0.17
108.31	0.17
108.36	0.14
108.41	0.13
108.46	0.1
108.51	0.07
108.56	0.04
108.61	0
108.66	-0.03
108.71	-0.05
108.76	-0.09
108.81	-0.12
108.86	-0.13
108.91	-0.15
108.96	-0.17
109.01	-0.17
109.06	-0.17
109.11	-0.17
109.16	-0.17
109.21	-0.15
109.26	-0.13
109.31	-0.11
109.36	-0.09
109.41	-0.05
109.46	-0.03
109.51	0
109.56	0.04
109.61	0.07
109.66	0.09
109.71	0.12
109.76	0.13
109.81	0.15
109.86	0.17
109.91	0.17
109.96	0.17
110.01	0.17
110.06	0.16
110.11	0.15
110.16	0.13
110.21	0.11
110.26	0.09
110.31	0.05
110.36	0.03
110.41	0
110.46	-0.03
110.51	-0.05
110.56	-0.09
110.61	-0.11
110.66	-0.13
110.71	-0.14
110.76	-0.15
110.81	-0.16
110.86	-0.16
110.91	-0.16
110.96	-0.14
111.01	-0.13
111.06	-0.12
111.11	-0.1
111.16	-0.08
111.21	-0.04
111.26	-0.02
111.31	0
111.36	0.04
111.41	0.07
111.46	0.09
111.51	0.11
111.56	0.13
111.61	0.14
111.66	0.15
111.71	0.16
111.76	0.16
111.81	0.16
111.86	0.14
111.91	0.13
111.96	0.12
112.01	0.1
112.06	0.08
112.11	0.04
112.16	0.02
112.21	0
112.26	-0.03
112.31	-0.05
112.36	-0.09
112.41	-0.1
112.46	-0.12
112.51	-0.13
112.56	-0.13
112.61	-0.14
112.66	-0.14
112.71	-0.14
112.76	-0.13
112.81	-0.12
112.86	-0.1
112.91	-0.09
112.96	-0.07
113.01	-0.04
113.06	-0.01
113.11	0.01
113.16	0.04
113.21	0.05
113.26	0.09
113.31	0.1
113.36	0.12
113.41	0.13
113.46	0.13
113.51	0.14
113.56	0.14
113.61	0.14
113.66	0.13
113.71	0.12
113.76	0.1
113.81	0.09
113.86	0.07
113.91	0.04
113.96	0.01
114.01	0
114.06	-0.03
114.11	-0.05
114.16	-0.08
114.21	-0.09
114.26	-0.11
114.31	-0.12
114.36	-0.13
114.41	-0.13
114.46	-0.13
114.51	-0.13
114.56	-0.12
114.61	-0.1
114.66	-0.09
114.71	-0.08
114.76	-0.05
114.81	-0.03
114.86	0
114.91	0.01
114.96	0.04
115.01	0.05
115.06	0.08
115.11	0.09
115.16	0.11
115.21	0.12
115.26	0.13
115.31	0.13
115.36	0.13
115.41	0.13
115.46	0.12
115.51	0.1
115.56	0.09
115.61	0.08
115.66	0.05
115.71	0.03
115.76	0.01
115.81	0
115.86	-0.03
115.91	-0.04
115.96	-0.07
116.01	-0.09
116.06	-0.09
116.11	-0.1
116.16	-0.11
116.21	-0.12
116.26	-0.12
116.31	-0.11
116.36	-0.1
116.41	-0.09
116.46	-0.09
116.51	-0.05
116.56	-0.04
116.61	-0.02
116.66	0
116.71	0.01
116.76	0.04
116.81	0.05
116.86	0.08
116.91	0.09
116.96	0.09
117.01	0.1
117.06	0.11
117.11	0.12
117.16	0.12
117.21	0.11
117.26	0.1
117.31	0.09
117.36	0.09
117.41	0.07
117.46	0.04
117.51	0.03
117.56	0
117.61	0
117.66	-0.03
117.71	-0.04
117.76	-0.05
117.81	-0.08
117.86	-0.09
117.91	-0.09
117.96	-0.1
118.01	-0.1
118.06	-0.1
118.11	-0.09
118.16	-0.09
118.21	-0.09
118.26	-0.07
118.31	-0.04
118.36	-0.04
118.41	-0.01
118.46	0
118.51	0.01
118.56	0.03
118.61	0.04
118.66	0.07
118.71	0.08
118.76	0.09
118.81	0.09
118.86	0.1
118.91	0.1
118.96	0.1
119.01	0.09
119.06	0.09
119.11	0.09
119.16	0.07
119.21	0.05
119.26	0.04
119.31	0.02
119.36	0
119.41	-0.01
119.46	-0.03
119.51	-0.04
119.56	-0.05
119.61	-0.07
119.66	-0.08
119.71	-0.09
119.76	-0.09
119.81	-0.09
119.86	-0.09
119.91	-0.09
119.96	-0.08
120.01	-0.07
120.06	-0.05
120.11	-0.04
120.16	-0.03
120.21	-0.01
120.26	0
120.31	0.01
120.36	0.03
120.41	0.04
120.46	0.05
120.51	0.07
120.56	0.08
120.61	0.09
120.66	0.09
120.71	0.09
120.76	0.09
120.81	0.09
120.86	0.08
120.91	0.07
120.96	0.05
121.01	0.04
121.06	0.03
121.11	0.01
121.16	0
121.21	-0.01
121.26	-0.02
121.31	-0.04
121.36	-0.04
121.41	-0.05
121.46	-0.07
121.51	-0.08
121.56	-0.08
121.61	-0.08
121.66	-0.08
121.71	-0.07
121.76	-0.05
121.81	-0.05
121.86	-0.04
121.91	-0.03
121.96	-0.02
122.01	0
122.06	0
122.11	0.01
122.16	0.03
122.21	0.04
122.26	0.04
122.31	0.05
122.36	0.07
122.41	0.08
122.46	0.08
122.51	0.08
122.56	0.08
122.61	0.08
122.66	0.07
122.71	0.05
122.76	0.04
122.81	0.04
122.86	0.02
122.91	0.01
122.96	0
123.01	-0.01
123.06	-0.02
123.11	-0.03
123.16	-0.04
123.21	-0.04
123.26	-0.05
123.31	-0.05
123.36	-0.05
123.41	-0.05
123.46	-0.05
123.51	-0.05
123.56	-0.04
123.61	-0.04
123.66	-0.04
123.71	-0.02
123.76	-0.01
123.81	0
123.86	0
123.91	0.02
123.96	0.03
124.01	0.04
124.06	0.04
124.11	0.05
124.16	0.05
124.21	0.05
124.26	0.07
124.31	0.07
124.36	0.05
124.41	0.05
124.46	0.05
124.51	0.04
124.56	0.04
124.61	0.03
124.66	0.01
124.71	0
124.76	0
124.81	-0.01
124.86	-0.02
124.91	-0.03
124.96	-0.04
125.01	-0.04
125.06	-0.04
125.11	-0.04
125.16	-0.04
125.21	-0.04
125.26	-0.04
125.31	-0.04
125.36	-0.04
125.41	-0.04
125.46	-0.03
125.51	-0.01
125.56	-0.01
125.61	0
125.66	0
125.71	0.02
125.76	0.03
125.81	0.03
125.86	0.04
125.91	0.04
125.96	0.04
126.01	0.04
126.06	0.04
126.11	0.04
126.16	0.04
126.21	0.04
126.26	0.04
126.31	0.04
126.36	0.03
126.41	0.02
126.46	0.01
126.51	0
126.56	0
126.61	-0.01
126.66	-0.02
126.71	-0.02
126.76	-0.03
126.81	-0.04
126.86	-0.04
126.91	-0.04
126.96	-0.04
127.01	-0.04
127.06	-0.04
127.11	-0.04
127.16	-0.03
127.21	-0.02
127.26	-0.01
127.31	-0.01
127.36	0
127.41	0
127.46	0.01
127.51	0.01
127.56	0.02
127.61	0.03
127.66	0.03
127.71	0.04
127.76	0.04
127.81	0.04
127.86	0.04
127.91	0.04
127.96	0.04
128.01	0.04
128.06	0.03
128.11	0.03
128.16	0.02
128.21	0.01
128.26	0
128.31	0
128.36	0
128.41	-0.01
128.46	-0.01
128.51	-0.02
128.56	-0.02
128.61	-0.03
128.66	-0.03
128.71	-0.03
128.76	-0.03
128.81	-0.03
128.86	-0.03
128.91	-0.02
128.96	-0.02
129.01	-0.01
129.06	-0.01
129.11	0
129.16	0
129.21	0
129.26	0.01
129.31	0.01
129.36	0.02
129.41	0.02
129.46	0.03
129.51	0.03
129.56	0.03
129.61	0.03
129.66	0.03
129.71	0.03
129.76	0.03
129.81	0.03
129.86	0.02
129.91	0.02
129.96	0.01
130.01	0.01
130.06	0
130.11	0
130.16	0
130.21	0
130.26	-0.01
130.31	-0.01
130.36	-0.01
130.41	-0.01
130.46	-0.02
130.51	-0.02
130.56	-0.02
130.61	-0.01
130.66	-0.01
130.71	-0.01
130.76	-0.01
130.81	0
130.86	0
130.91	0
130.96	0
131.01	0
131.06	0.01
131.11	0.01
131.16	0.01
131.21	0.02
131.26	0.02
131.31	0.02
131.36	0.02
131.41	0.02
131.46	0.02
131.51	0.02
131.56	0.02
131.61	0.01
131.66	0.01
131.71	0.01
131.76	0
131.81	0
131.86	0
131.91	0
131.96	0
132.01	0
132.06	0
132.11	0
132.16	-0.01
132.21	-0.01
132.26	-0.01
132.31	-0.01
132.36	-0.01
132.41	-0.01
132.46	0
132.51	0
132.56	0
132.61	0
132.66	0
132.71	0
132.76	0
132.81	0
132.86	0
132.91	0.01
132.96	0.01
133.01	0.01
133.06	0.01
133.11	0.01
133.16	0.01
133.21	0.01
133.26	0.01
133.31	0.01
133.36	0.01
133.41	0.01
133.46	0
133.51	0
133.56	0
133.61	0
133.66	0
133.71	0
133.76	0
133.81	0
133.86	0
133.91	0
133.96	0
134.01	0
134.06	0
134.11	0
134.16	0
134.21	0
134.26	0
134.31	0
134.36	0
134.41	0
134.46	0
134.51	0
134.56	0
134.61	0
134.66	0
134.71	0
134.76	0
134.81	0
134.86	0
134.91	0
134.96	0
135.01	0
135.06	0
135.11	0
135.16	0
135.21	0
135.26	0
135.31	0
 
